data,IPCA,IPCA acumulado
2018-02-12,0.38,1.2239733502792771
2018-02-13,0.38,1.2239733502792771
2018-02-14,0.38,1.2239733502792771
2018-02-15,0.38,1.2239733502792771
2018-02-16,0.38,1.2239733502792771
2018-02-17,0.38,1.2239733502792771
2018-02-18,0.38,1.2239733502792771
2018-02-19,0.38,1.2239733502792771
2018-02-20,0.38,1.2239733502792771
2018-02-21,0.38,1.2239733502792771
2018-02-22,0.38,1.2239733502792771
2018-02-23,0.38,1.2239733502792771
2018-02-24,0.38,1.2239733502792771
2018-02-25,0.38,1.2239733502792771
2018-02-26,0.38,1.2239733502792771
2018-02-27,0.38,1.2239733502792771
2018-02-28,0.38,1.2239733502792771
2018-03-01,0.1,1.2251973236295566
2018-03-02,0.1,1.2251973236295566
2018-03-03,0.1,1.2251973236295566
2018-03-04,0.1,1.2251973236295566
2018-03-05,0.1,1.2251973236295566
2018-03-06,0.1,1.2251973236295566
2018-03-07,0.1,1.2251973236295566
2018-03-08,0.1,1.2251973236295566
2018-03-09,0.1,1.2251973236295566
2018-03-10,0.1,1.2251973236295566
2018-03-11,0.1,1.2251973236295566
2018-03-12,0.1,1.2251973236295566
2018-03-13,0.1,1.2251973236295566
2018-03-14,0.1,1.2251973236295566
2018-03-15,0.1,1.2251973236295566
2018-03-16,0.1,1.2251973236295566
2018-03-17,0.1,1.2251973236295566
2018-03-18,0.1,1.2251973236295566
2018-03-19,0.1,1.2251973236295566
2018-03-20,0.1,1.2251973236295566
2018-03-21,0.1,1.2251973236295566
2018-03-22,0.1,1.2251973236295566
2018-03-23,0.1,1.2251973236295566
2018-03-24,0.1,1.2251973236295566
2018-03-25,0.1,1.2251973236295566
2018-03-26,0.1,1.2251973236295566
2018-03-27,0.1,1.2251973236295566
2018-03-28,0.1,1.2251973236295566
2018-03-29,0.1,1.2251973236295566
2018-03-30,0.1,1.2251973236295566
2018-03-31,0.1,1.2251973236295566
2018-04-01,0.21,1.2277702380091786
2018-04-02,0.21,1.2277702380091786
2018-04-03,0.21,1.2277702380091786
2018-04-04,0.21,1.2277702380091786
2018-04-05,0.21,1.2277702380091786
2018-04-06,0.21,1.2277702380091786
2018-04-07,0.21,1.2277702380091786
2018-04-08,0.21,1.2277702380091786
2018-04-09,0.21,1.2277702380091786
2018-04-10,0.21,1.2277702380091786
2018-04-11,0.21,1.2277702380091786
2018-04-12,0.21,1.2277702380091786
2018-04-13,0.21,1.2277702380091786
2018-04-14,0.21,1.2277702380091786
2018-04-15,0.21,1.2277702380091786
2018-04-16,0.21,1.2277702380091786
2018-04-17,0.21,1.2277702380091786
2018-04-18,0.21,1.2277702380091786
2018-04-19,0.21,1.2277702380091786
2018-04-20,0.21,1.2277702380091786
2018-04-21,0.21,1.2277702380091786
2018-04-22,0.21,1.2277702380091786
2018-04-23,0.21,1.2277702380091786
2018-04-24,0.21,1.2277702380091786
2018-04-25,0.21,1.2277702380091786
2018-04-26,0.21,1.2277702380091786
2018-04-27,0.21,1.2277702380091786
2018-04-28,0.21,1.2277702380091786
2018-04-29,0.21,1.2277702380091786
2018-04-30,0.21,1.2277702380091786
2018-05-01,0.14,1.2294891163423916
2018-05-02,0.14,1.2294891163423916
2018-05-03,0.14,1.2294891163423916
2018-05-04,0.14,1.2294891163423916
2018-05-05,0.14,1.2294891163423916
2018-05-06,0.14,1.2294891163423916
2018-05-07,0.14,1.2294891163423916
2018-05-08,0.14,1.2294891163423916
2018-05-09,0.14,1.2294891163423916
2018-05-10,0.14,1.2294891163423916
2018-05-11,0.14,1.2294891163423916
2018-05-12,0.14,1.2294891163423916
2018-05-13,0.14,1.2294891163423916
2018-05-14,0.14,1.2294891163423916
2018-05-15,0.14,1.2294891163423916
2018-05-16,0.14,1.2294891163423916
2018-05-17,0.14,1.2294891163423916
2018-05-18,0.14,1.2294891163423916
2018-05-19,0.14,1.2294891163423916
2018-05-20,0.14,1.2294891163423916
2018-05-21,0.14,1.2294891163423916
2018-05-22,0.14,1.2294891163423916
2018-05-23,0.14,1.2294891163423916
2018-05-24,0.14,1.2294891163423916
2018-05-25,0.14,1.2294891163423916
2018-05-26,0.14,1.2294891163423916
2018-05-27,0.14,1.2294891163423916
2018-05-28,0.14,1.2294891163423916
2018-05-29,0.14,1.2294891163423916
2018-05-30,0.14,1.2294891163423916
2018-05-31,0.14,1.2294891163423916
2018-06-01,1.11,1.2431364455337923
2018-06-02,1.11,1.2431364455337923
2018-06-03,1.11,1.2431364455337923
2018-06-04,1.11,1.2431364455337923
2018-06-05,1.11,1.2431364455337923
2018-06-06,1.11,1.2431364455337923
2018-06-07,1.11,1.2431364455337923
2018-06-08,1.11,1.2431364455337923
2018-06-09,1.11,1.2431364455337923
2018-06-10,1.11,1.2431364455337923
2018-06-11,1.11,1.2431364455337923
2018-06-12,1.11,1.2431364455337923
2018-06-13,1.11,1.2431364455337923
2018-06-14,1.11,1.2431364455337923
2018-06-15,1.11,1.2431364455337923
2018-06-16,1.11,1.2431364455337923
2018-06-17,1.11,1.2431364455337923
2018-06-18,1.11,1.2431364455337923
2018-06-19,1.11,1.2431364455337923
2018-06-20,1.11,1.2431364455337923
2018-06-21,1.11,1.2431364455337923
